facts_summary,case_category,likely_outcome,source_file,source_prefix,date_lecture,type_decision,type_recours,solution,text_length
"La Fédération CFDT des banques et assurances, Mme D B, Mme M E épouse O, Mme L N épouse H, Mme J F épouse A, Mme G I et M. K C ont demandé au tribunal administratif de Paris d'annuler pour excès de pouvoir la décision du 12 octobre 2018 par laquelle la directrice régionale des entreprises, de la concurrence, de la consommation, du travail et de l'emploi d'Ile-de-France a homologué le document unilatéral portant plan de sauvegarde de l'emploi de la société Alliage Assurances. Par un jugement n° 1823072/3-3 du 5 mars 2019, le tribunal administratif a rejeté cette demande. Par un arrêt n° 19PA01502 du 4 juillet 2019, la cour administrative d'appel de Paris a, sur appel de la Fédération CFDT des banques et assurances, de Mme D B, Mme M O, Mme L H, Mme J A, Mme G I et M. K C, annulé ce jugement et la décision du 12 octobre 2018. 1° Sous le n° 434225, par un pourvoi sommaire et un mémoire complémentaire, enregistrés les 4 septembre et 5 décembre 2019 au secrétariat du contentieux du Conseil d'Etat, la ministre du travail demande au Conseil d'Etat : 1°) d'annuler cet arrêt ; 2°) réglant l'affaire au fond, de rejeter l'appel de la Fédération CFDT des banques et assurances et autres. 2° Sous le n°434243, par un pourvoi sommaire, un mémoire complémentaire et un mémoire en réplique, enregistrés les 4 septembre et 4 décembre 2019 et le 3 décembre 2020 au secrétariat du contentieux du Conseil d'Etat, la SELAFA MJA et la SELARL FIDES, agissant en qualité de liquidateurs de la société Alliage Assurances, demandent au Conseil d'Etat : 1°) d'annuler cet arrêt ; 2°) réglant l'affaire au fond, de rejeter l'appel de la Fédération CFDT des banques et assurances et autres ; 3°) de mettre à la charge de la Fédération CFDT des banques et assurances et autres la somme de 4 500 euros au titre de l'article L. 761-1 du code de justice administrative. Vu les autres pièces des dossiers ;",exces_de_pouvoir,defavorable_requerant,DCE_434225_20220601.xml,DCE,2022-06-01,Décision,Excès de pouvoir,Rejet,18131
"M. B A a demandé au tribunal administratif de Lille d'annuler pour excès de pouvoir la décision du 28 mai 2015 par laquelle la ministre du travail, de l'emploi, de la formation professionnelle et du dialogue social a, d'une part, retiré sa décision implicite née le 22 avril 2015 et annulé la décision du 17 novembre 2014 de l'inspecteur du travail de la 16ème section de l'unité territoriale Nord-Lille refusant d'autoriser l'établissement public industriel et commercial Société Nationale des Chemins de fer français Mobilités (SNCF Mobilités) à procéder à son licenciement pour faute et, d'autre part, accordé l'autorisation de licenciement sollicitée. Par un jugement n° 1505972 du 14 décembre 2016, le tribunal administratif a rejeté sa demande. Par un arrêt n° 17DA00295 du 13 juin 2019, la cour administrative d'appel de Douai a rejeté son appel contre ce jugement. Par un pourvoi sommaire et un mémoire complémentaire, enregistrés les 10 octobre 2019 et 10 janvier 2020 au secrétariat du contentieux du Conseil d'Etat, M. A demande au Conseil d'Etat : 1°) d'annuler cet arrêt ; 2°) réglant l'affaire au fond, de faire droit à son appel ; 3°) de mettre à la charge de la société SNCF Mobilités la somme de 3 000 euros à verser à la SCP Garreau, Bauer-Violas, Feschotte-Desbois, son avocat, au titre des dispositions des articles L. 761-1 du code de justice administrative et 37 de la loi du 10 juillet 1991.",exces_de_pouvoir,favorable_requerant,DCE_435266_20220620.xml,DCE,2022-06-20,Décision,Excès de pouvoir,Satisfaction totale,10001
"Par une décision du 30 décembre 2020, le Conseil d’Etat, statuant au contentieux, a prononcé l’admission des conclusions du pourvoi de la société Immotour dirigées contre l’arrêt n°s 18NC02355, 18NC02356, 18NC02508 du 24 octobre 2019 de la cour administrative d’appel de Nancy en tant seulement qu’il écarte la responsabilité sans faute de la commune de Saverne.",plein_contentieux,partiellement_favorable,DCE_437160_20220613.xml,DCE,2022-06-13,Décision,Plein contentieux,Satisfaction partielle,8347
"Mme A B a demandé au tribunal administratif de Caen d'annuler pour excès de pouvoir la décision du 24 janvier 2014 par laquelle l'inspectrice du travail de la 2ème section de l'unité territoriale du Calvados a autorisé la société Trucks and Stores à la licencier pour motif économique. Par un jugement n° 1400559 du 21 mai 2015, le tribunal administratif a rejeté sa demande. Par un arrêt n° 15NT02233 du 14 novembre 2017, la cour administrative d'appel de Nantes, sur appel de Mme B, a annulé ce jugement et cette décision. Par une décision n° 417307 du 12 décembre 2018, le Conseil d'Etat, statuant au contentieux a, sur pourvoi de Me Francis Villa, agissant en qualité de mandataire liquidateur de la société Trucks and Stores, annulé cet arrêt et renvoyé l'affaire à la cour administrative d'appel de Nantes. Par un arrêt n° 18NT04615 du 5 novembre 2019, la cour administrative d'appel de Nantes, statuant sur renvoi du Conseil d'Etat, a rejeté l'appel de Mme B. Par un pourvoi sommaire et un mémoire complémentaire, enregistrés les 6 janvier et 21 avril 2020 au secrétariat du contentieux du Conseil d'Etat, Mme B demande au Conseil d'Etat : 1°) d'annuler cet arrêt ; 2°) réglant l'affaire au fond, de faire droit à son appel ; 3°) de mettre solidairement à la charge de l'Etat et de Me Villa, mandataire liquidateur de la société Trucks and Stores, la somme de 2 500 euros au titre de l'article L. 761-1 du code de justice administrative.",exces_de_pouvoir,defavorable_requerant,DCE_437422_20220614.xml,DCE,2022-06-14,Décision,Excès de pouvoir,Rejet,17850
"Le comité d'entreprise de l'unité économique et sociale (UES) Hop !, le Syndicat CGT Hop !, la CFDT Groupe Air France SPASAF, l'Union de l'encadrement Hop ! CFE-CGC FNEMA, le syndicat UNSA Aérien et M. A B ont demandé au tribunal administratif de Melun d'annuler pour excès de pouvoir la décision du 5 février 2019 par laquelle la directrice régionale des entreprises, de la concurrence, de la consommation, du travail et de l'emploi d'Ile-de-France a homologué le document unilatéral fixant le contenu du plan de sauvegarde de l'emploi de la société Hop !. Par un jugement n° 1903205 du 5 juillet 2019, le tribunal administratif a annulé cette décision. Par un arrêt n° 19PA02896, 19PA02901 du 19 novembre 2019 la cour administrative d'appel de Paris a, sur appels de la société Hop ! et de la ministre du travail, de l'emploi et de l'insertion, annulé ce jugement et rejeté la demande présentée devant le tribunal administratif de Melun. Par un pourvoi sommaire, un mémoire complémentaire, un mémoire en réplique et un nouveau mémoire, enregistrés les 20 janvier et 6 août 2020 et les 3 mai et 30 juin 2021, au secrétariat du contentieux du Conseil d'Etat, le Comité social et économique de l'UES Hop !, le Syndicat CGT Hop !, l'Union de l'encadrement Hop ! CFE-CGC FNEMA et M. B demandent au Conseil d'Etat : 1°) d'annuler cet arrêt ; 2°) réglant l'affaire au fond, de rejeter les requêtes d'appel ; 3°) de mettre à la charge de l'État et de la société Hop ! la somme de 5 000 euros chacun au titre de l'article L. 761-1 du code de justice administrative.",exces_de_pouvoir,defavorable_requerant,DCE_437767_20220620.xml,DCE,2022-06-20,Décision,Excès de pouvoir,Rejet,25929
"M. A B a demandé au tribunal administratif de Strasbourg d'annuler pour excès de pouvoir l'arrêté du 31 août 2015 par lequel la ministre de l'éducation nationale, de l'enseignement supérieur et de la recherche a prononcé son licenciement, ainsi que la décision implicite de rejet de son recours gracieux et d'enjoindre à la ministre de le réintégrer en tant que fonctionnaire stagiaire et de lui accorder une nouvelle année de stage avec un nouveau tuteur. Par un jugement n° 1601019 du 9 mai 2018, le tribunal administratif a rejeté sa demande. Par un arrêt n° 18NC01952 du 3 décembre 2019, la cour administrative d'appel de Nancy a rejeté l'appel formé par M. B contre ce jugement. Par un pourvoi sommaire et un mémoire complémentaire, enregistrés au secrétariat du contentieux du Conseil d'Etat les 4 février et 21 août 2020, M. B demande au Conseil d'Etat : 1°) d'annuler cet arrêt ; 2°) réglant l'affaire au fond, de faire droit à sa requête ; 3°) de mettre à la charge de l'Etat la somme de 4 000 euros au titre de l'article L. 761-1 du code de justice administrative.",exces_de_pouvoir,defavorable_requerant,DCE_438227_20220624.xml,DCE,2022-06-24,Décision,Excès de pouvoir,Rejet,17892
"La société Henri Berruer, venant aux droits de la société Benichou Legrain Berruer, a demandé au tribunal administratif de Paris de condamner l'Etat à l'indemniser des préjudices qu'elle estime avoir subis du fait de l'illégalité de la décision du 26 août 2010 par laquelle l'inspecteur du travail de l'unité territoriale de Paris l'a autorisée à licencier M. B A. Par un jugement n° 1519414/3-2 du 25 janvier 2017, le tribunal administratif a condamné l'Etat à lui verser une somme de 32 052,66 euros, assortie des intérêts au taux légal. Par un arrêt n° 17PA01038 du 20 décembre 2019, la cour administrative d'appel de Paris a, sur les appels de la société Henri Berruer et de la ministre du travail, condamné l'Etat à verser à la société Henri Berruer une somme de 96 232,82 euros, assortie des intérêts au taux légal. Par un pourvoi sommaire et un mémoire complémentaire, enregistrés les 20 février et 28 juillet 2020 au secrétariat du contentieux du Conseil d'Etat, la société Henri Berruer demande au Conseil d'Etat : 1°) d'annuler cet arrêt en tant qu'il n'a pas intégralement fait droit à ses conclusions d'appel ; 2°) réglant l'affaire au fond, de faire droit à son appel ; 3°) de mettre à la charge de l'Etat la somme de 5 000 euros au titre de l'article L. 761-1 du code de justice administrative.",exces_de_pouvoir,partiellement_favorable,DCE_438885_20220620.xml,DCE,2022-06-20,Décision,Excès de pouvoir,Satisfaction partielle,14907
"1° Sous le n° 439846, M. et Mme B A ont demandé au tribunal administratif de Lyon de prononcer la décharge des cotisations supplémentaires d'impôt sur le revenu auxquelles ils ont été assujettis au titre des années 2011 et 2012, ou, à titre subsidiaire, d'en prononcer la réduction. Par un jugement n° 1507837 du 20 mars 2018, le tribunal administratif de Lyon a réduit les bases d'imposition au titre des deux années en litige, ordonné la décharge des impositions correspondantes et rejeté le surplus de leur demande. Par un arrêt n° 18LY02021 du 30 janvier 2020, la cour administrative d'appel de Lyon a, sur appel de M. et Mme A, réduit les bases d'imposition de l'année 2011, ordonné la décharge des impositions correspondantes et rejeté le surplus de leur appel. Par un pourvoi sommaire et un mémoire complémentaire, enregistrés les 30 mars et 1er juillet 2020 au secrétariat du contentieux du Conseil d'Etat, M. et Mme A demandent au Conseil d'Etat : 1°) d'annuler cet arrêt en tant qu'il rejette le surplus de leur appel ; 2°) de mettre à la charge de l'Etat la somme de 5 000 euros au titre de l'article L. 761-1 du code de justice administrative. 2° Sous le n° 439848, M. et Mme B A ont demandé au tribunal administratif de Lyon de prononcer la décharge de la cotisation supplémentaire d'impôt sur le revenu à laquelle ils ont été assujettis au titre de l'année 2013. Par un jugement n° 1701418 du 20 mars 2018, le tribunal administratif de Lyon a rejeté leur demande. Par un arrêt n° 18LY02022 du 30 janvier 2020, la cour administrative d'appel de Lyon a rejeté l'appel formé par M. et Mme A contre ce jugement. Par un pourvoi sommaire et un mémoire complémentaire, enregistrés les 30 mars et 1er juillet 2020 au secrétariat du contentieux du Conseil d'Etat, M. et Mme A demandent au Conseil d'Etat : 1°) d'annuler cet arrêt ; 2°) de mettre à la charge de l'Etat la somme de 5 000 euros au titre de l'article L. 761-1 du code de justice administrative. Vu les autres pièces des dossiers ;",plein_contentieux,renvoi,DCE_439846_20220621.xml,DCE,2022-06-21,Décision,Plein contentieux,Renvoi après cassation,7898
"Mme B C a demandé au tribunal administratif de Clermont-Ferrand, en premier lieu, d'annuler pour excès de pouvoir la décision du 6 août 2015 par laquelle le ministre de l'agriculture, de l'agroalimentaire et de la forêt a décidé de ne pas la titulariser dans le corps des maîtres de conférences de l'enseignement agricole, ainsi que les arrêtés du 6 août 2015 et du 10 août 2015 par lesquels le ministre de l'agriculture, de l'agroalimentaire et de la forêt a mis fin à ses fonctions de maître de conférences stagiaire des établissements d'enseignement supérieur publics à compter du 1er septembre 2015, et en second lieu, d'enjoindre au ministre de l'agriculture, de l'agroalimentaire et de la forêt de la titulariser à compter du 1er septembre 2015 et de procéder à la reconstitution de sa carrière. Par un jugement n° 1501957 du 2 novembre 2017, le tribunal administratif a rejeté cette demande. Par un arrêt n° 18LY00003 du 6 février 2020, la cour administrative d'appel de Lyon a rejeté l'appel formé par Mme C contre ce jugement. Par un pourvoi sommaire et un mémoire complémentaire, enregistrés au secrétariat du contentieux du Conseil d'Etat les 6 avril et 3 juillet 2020, Mme C demande au Conseil d'Etat : 1°) d'annuler cet arrêt ; 2°) de mettre à la charge de l'Etat la somme de 3 500 euros au titre de l'article L. 761-1 du code de justice administrative.",plein_contentieux,defavorable_requerant,DCE_439974_20220629.xml,DCE,2022-06-29,Décision,Plein contentieux,Rejet,7255
"Par une requête, un mémoire en réplique et deux nouveaux mémoires, enregistrés les 4 mai, 22 novembre et 5 décembre 2020 et le 15 mai 2021 au secrétariat du contentieux du Conseil d'Etat, M. B D et Mme C A demandent au Conseil d'Etat d'annuler pour excès de pouvoir, d'une part, l'arrêté du 13 février 2020 de la ministre de l'enseignement supérieur, de la recherche et de l'innovation relatif au règlement intérieur de l'Ecole normale supérieure de Lyon, d'autre part, la décision n° 2020-19 du 3 mars 2020 du président de l'Ecole normale supérieure de Lyon portant désignation des institutions partenaires représentées au conseil d'administration de l'établissement.",exces_de_pouvoir,defavorable_requerant,DCE_440370_20220601.xml,DCE,2022-06-01,Décision,Excès de pouvoir,Rejet,12393
