case_category,precision,recall,f1_score,support,model_key,model_name
autres_recours,0.6666666666666666,0.5714285714285714,0.6153846153846154,7,log_reg_legal,TF-IDF + Logistic Regression
exces_de_pouvoir,0.8478260869565217,0.9069767441860465,0.8764044943820225,86,log_reg_legal,TF-IDF + Logistic Regression
plein_contentieux,0.9318181818181818,0.8817204301075269,0.9060773480662984,93,log_reg_legal,TF-IDF + Logistic Regression
autres_recours,0.75,0.42857142857142855,0.5454545454545454,7,linear_svm_legal,TF-IDF + Linear SVM
exces_de_pouvoir,0.8426966292134831,0.872093023255814,0.8571428571428571,86,linear_svm_legal,TF-IDF + Linear SVM
plein_contentieux,0.8924731182795699,0.8924731182795699,0.8924731182795699,93,linear_svm_legal,TF-IDF + Linear SVM
autres_recours,1.0,0.42857142857142855,0.6,7,char_svm_legal,Character TF-IDF + Linear SVM
exces_de_pouvoir,0.8461538461538461,0.8953488372093024,0.8700564971751412,86,char_svm_legal,Character TF-IDF + Linear SVM
plein_contentieux,0.9021739130434783,0.8924731182795699,0.8972972972972973,93,char_svm_legal,Character TF-IDF + Linear SVM
autres_recours,0.45454545454545453,0.7142857142857143,0.5555555555555556,7,lsa_log_reg_legal,Latent Semantic TF-IDF + Logistic Regression
exces_de_pouvoir,0.8795180722891566,0.8488372093023255,0.863905325443787,86,lsa_log_reg_legal,Latent Semantic TF-IDF + Logistic Regression
plein_contentieux,0.9239130434782609,0.9139784946236559,0.918918918918919,93,lsa_log_reg_legal,Latent Semantic TF-IDF + Logistic Regression
autres_recours,0.7142857142857143,0.7142857142857143,0.7142857142857143,7,hybrid_log_reg_legal,Hybrid TF-IDF + Legal Signals
exces_de_pouvoir,0.8571428571428571,0.9069767441860465,0.8813559322033898,86,hybrid_log_reg_legal,Hybrid TF-IDF + Legal Signals
plein_contentieux,0.9318181818181818,0.8817204301075269,0.9060773480662984,93,hybrid_log_reg_legal,Hybrid TF-IDF + Legal Signals
